[grapheme]aback	[celex]@-'b{k	[nettalk]xb@k-
[grapheme]agitate	[celex]'{-_I-t1t	[nettalk]@Jxtet-
[grapheme]agitation	"[celex]""{-_I-'t1-SH"	[nettalk]@JxteS-xn
[grapheme]agitator	[celex]'{-_I-t1-t@R	[nettalk]@Jxtet-R
[grapheme]aglow	[celex]@-'gl5	[nettalk]xglo-
[grapheme]agnostic	[celex]{g-'nQ-stIk	[nettalk]@gnastIk
[grapheme]ago	[celex]@-'g5	[nettalk]xgo
[grapheme]agog	[celex]@-'gQg	[nettalk]xgag
[grapheme]agonize	[celex]'{-g@-n2z	[nettalk]@gxnAz-
[grapheme]agony	[celex]'{-g@-nI	[nettalk]@gxni
[grapheme]agora	[celex]'{-g@-r@	[nettalk]agxra
[grapheme]agoraphobia	"[celex]""{-g@-r@-'f5-bj@"	[nettalk]@gxrxf-obix
[grapheme]agrarian	[celex]@-'gr8-r7n	[nettalk]xgrErixn
[grapheme]agree	[celex]@-'gri	[nettalk]xgri-
[grapheme]agricultural	"[celex]""{-grI-'kVl-J@-r@l"	[nettalk]@grIk^lCxr-L
[grapheme]agriculture	[celex]'{-grI-kVl-J@R	[nettalk]@grIk^lC-R-
[grapheme]aground	[celex]@-'gr6nd	[nettalk]xgrW-nd
[grapheme]ague	[celex]'1-gju	[nettalk]egY-
[grapheme]ahead	[celex]@-'hEd	[nettalk]xhE-d
[grapheme]ahoy	[celex]@-'h4	[nettalk]xhO-
[grapheme]aid	[celex]'1d	[nettalk]e-d
[grapheme]aide	[celex]'1d	[nettalk]e-d-
[grapheme]aigrette	[celex]'1-grEt	[nettalk]e-grEt--
[grapheme]ail	[celex]'1l	[nettalk]e-l
[grapheme]aileron	[celex]'1-l@-rQn	[nettalk]e-lxran
[grapheme]ailment	[celex]'1l-m@nt	[nettalk]e-lmxnt
[grapheme]aim	[celex]'1m	[nettalk]e-m
[grapheme]air	[celex]'8R	[nettalk]@-r
[grapheme]aircraft	[celex]'8-kr#ft	[nettalk]@-rkr@ft
[grapheme]airlift	[celex]'8-lIft	[nettalk]@-rlIft
[grapheme]airliner	[celex]'8-l2-n@R	[nettalk]@-rlAn-R
[grapheme]airmail	[celex]'8-m1l	[nettalk]@-rme-l
[grapheme]airy	[celex]'8-rI	[nettalk]@-ri
[grapheme]aisle	[celex]'2l	[nettalk]-A-l-
[grapheme]ajar	[celex]@-'_#R	[nettalk]xJar
[grapheme]akimbo	[celex]@-'kIm-b5	[nettalk]xkImbo
[grapheme]akin	[celex]@-'kIn	[nettalk]xkIn
[grapheme]alabaster	"[celex]""{-l@-'b#-st@R"	[nettalk]@lxb@st-R
[grapheme]alacrity	[celex]@-'l{-kr@-tI	[nettalk]xl@krxti
[grapheme]alarm	[celex]@-'l#m	[nettalk]xlarm
[grapheme]albatross	[celex]'{l-b@-trQs	[nettalk]@lbxtrcs-
[grapheme]albeit	[celex]$l-'bi-It	[nettalk]@lbixt
[grapheme]albino	[celex]{l-'bi-n5	[nettalk]@lbAno
[grapheme]album	[celex]'{l-b@m	[nettalk]@lbxm
[grapheme]albumen	[celex]'{l-bjU-mIn	[nettalk]@lbYmxn
[grapheme]alchemist	[celex]'{l-k@-mIst	[nettalk]@lk-xmxst
[grapheme]alchemy	[celex]'{l-k@-mI	[nettalk]@lk-xmi
[grapheme]alcohol	[celex]'{l-k@-hQl	[nettalk]@lkxhcl
[grapheme]alcoholic	"[celex]""{l-k@-'hQ-lIk"	[nettalk]@lkxhclIk
[grapheme]alcoholism	[celex]'{l-k@-hQ-lI-z@m	[nettalk]@lkxhclIzM
[grapheme]alcove	[celex]'{l-k5v	[nettalk]@lkov-
[grapheme]alder	[celex]'$l-d@R	[nettalk]cld-R
[grapheme]alderman	[celex]'$l-d@-m@n	[nettalk]cld-Rmxn
[grapheme]ale	[celex]'1l	[nettalk]el-
[grapheme]alee	[celex]@-'li	[nettalk]xli-
[grapheme]alehouse	[celex]'1l-h6s	[nettalk]el-hW-s-
[grapheme]alert	[celex]@-'l3t	[nettalk]xl-Rt
[grapheme]alfalfa	[celex]{l-'f{l-f@	[nettalk]@lf@lfx
[grapheme]alfresco	[celex]{l-'frEs-k5	[nettalk]@lfrEsko
[grapheme]alga	[celex]'{l-g@	[nettalk]@lgx
[grapheme]algae	[celex]'{l-_i	[nettalk]@lJ-i
[grapheme]algebra	[celex]'{l-_I-br@	[nettalk]@lJxbrx
[grapheme]algebraic	"[celex]""{l-_I-'br1-Ik"	[nettalk]@lJxbreIk
[grapheme]alias	[celex]'1-l7s	[nettalk]elixs
[grapheme]alibi	[celex]'{-lI-b2	[nettalk]@lxbA
[grapheme]alien	[celex]'1-lj@n	[nettalk]elixn
[grapheme]alienable	[celex]'1-lj@-n@-bP	[nettalk]elyxnxbL-
[grapheme]alienation	"[celex]""1-lj@-'n1-SH"	[nettalk]elixneS-xn
[grapheme]alienist	[celex]'1-lj@-nIst	[nettalk]elixnxst
[grapheme]alight	[celex]@-'l2t	[nettalk]xlA--t
[grapheme]alike	[celex]@-'l2k	[nettalk]xlAk-
[grapheme]aliment	[celex]'{-lI-m@nt	[nettalk]@lxmxnt
[grapheme]alimentary	"[celex]""{-lI-'mEn-t@-rI"	[nettalk]@lxmEntxri
[grapheme]alimony	[celex]'{-lI-m@-nI	[nettalk]@lxmoni
[grapheme]alit	[celex]@-'lIt	[nettalk]xlIt
[grapheme]alive	[celex]@-'l2v	[nettalk]xlAv-
[grapheme]alkali	[celex]'{l-k@-l2	[nettalk]@lkxlA
[grapheme]all	[celex]'$l	[nettalk]cl-
[grapheme]allay	[celex]@-'l1	[nettalk]xl-e-
[grapheme]allegation	"[celex]""{-lI-'g1-SH"	[nettalk]@l-IgeS-xn
[grapheme]allege	[celex]@-'lE_	[nettalk]xl-EJ-
[grapheme]allegedly	[celex]@-'lE-_Id-lI	[nettalk]xl-EJxdli
[grapheme]allegiance	[celex]@-'li-_@ns	[nettalk]xl-iJ-xns-
[grapheme]allegorical	"[celex]""{-lI-'gQ-rI-kP"	[nettalk]@l-xgcrIk-L
[grapheme]allegory	[celex]'{-lI-g@-rI	[nettalk]@l-xgori
[grapheme]allegro	[celex]@-'l1-gr5	[nettalk]xl-Egro
[grapheme]alleluia	"[celex]""{-lI-'lu-j@"	[nettalk]@l-xluyx
[grapheme]allergen	[celex]'{-l@-_En	[nettalk]@l--RJxn
[grapheme]allergic	[celex]@-'l3-_Ik	[nettalk]xl--RJIk
[grapheme]allergy	[celex]'{-l@-_I	[nettalk]@l--RJi
[grapheme]alleviate	[celex]@-'li-vI-1t	[nettalk]xl-iviet-
[grapheme]alleviation	"[celex]@-""li-vI-'1-SH"	[nettalk]xl-ivieS-xn
[grapheme]alley	[celex]'{-lI	[nettalk]@l-i-
[grapheme]alliance	[celex]@-'l2-@ns	[nettalk]xl-Axns-
[grapheme]allied	[celex]@-'l2d	[nettalk]xl-A-d
[grapheme]alligator	[celex]'{-lI-g1-t@R	[nettalk]@l-xget-R
[grapheme]alliterate	[celex]@-'lI-t@-r1t	[nettalk]xl-Itxret-
[grapheme]alliteration	"[celex]@-""lI-t@-'r1-SH"	[nettalk]xl-ItxreS-xn
[grapheme]allocate	[celex]'{-l5-k1t	[nettalk]@l-xket-
[grapheme]allocation	"[celex]""{-l5-'k1-SH"	[nettalk]@l-xkeS-xn
[grapheme]allot	[celex]@-'lQt	[nettalk]xl-at
[grapheme]allow	[celex]@-'l6	[nettalk]xl-W-
[grapheme]alloy	[celex]@-'l4	[nettalk]@l-O-
[grapheme]allspice	[celex]'$l-sp2s	[nettalk]cl-spAs-
[grapheme]allure	[celex]@-'lj9R	[nettalk]xl-Ur-
[grapheme]alluvium	[celex]@-'lu-vj@m	[nettalk]xl-uvixm
[grapheme]ally	[celex]@-'l2	[nettalk]xl-A
[grapheme]almanac	[celex]'$l-m@-n{k	[nettalk]clmxn@k
[grapheme]almighty	[celex]$l-'m2-tI	[nettalk]clmA--ti
[grapheme]almond	[celex]'#-m@nd	[nettalk]a-mxnd
[grapheme]almoner	[celex]'#-m@-n@R	[nettalk]@lmxn-R
[grapheme]almost	[celex]'$l-m5st	[nettalk]clmost
[grapheme]alms	[celex]'#mz	[nettalk]a-mz
[grapheme]aloe	[celex]'{-l5	[nettalk]@lo-
[grapheme]aloft	[celex]@-'lQft	[nettalk]xlcft
[grapheme]alone	[celex]@-'l5n	[nettalk]xlon-
[grapheme]along	[celex]@-'lQN	[nettalk]xlcG-
[grapheme]alongside	[celex]@-'lQN-s2d	[nettalk]xlcG-sAd-
[grapheme]aloof	[celex]@-'luf	[nettalk]xlu-f
[grapheme]aloud	[celex]@-'l6d	[nettalk]xlW-d
[grapheme]alp	[celex]'{lp	[nettalk]@lp
[grapheme]alpaca	[celex]{l-'p{-k@	[nettalk]@lp@kx
[grapheme]alpenhorn	[celex]'{l-p@n-h$n	[nettalk]@lpxnhcrn
[grapheme]alpenstock	[celex]'{l-p@n-stQk	[nettalk]@lpxnstak-
[grapheme]alphabet	[celex]'{l-f@-bEt	[nettalk]@lf-xbEt
[grapheme]alphabetic	"[celex]""{l-f@-'bE-tIk"	[nettalk]@lf-xbEtIk
[grapheme]alpine	[celex]'{l-p2n	[nettalk]@lpAn-
[grapheme]already	[celex]$l-'rE-dI	[nettalk]clrE-di
[grapheme]also	[celex]'$l-s5	[nettalk]clso
[grapheme]altar	[celex]'$l-t@R	[nettalk]clt-R
[grapheme]alter	[celex]'$l-t@R	[nettalk]clt-R
[grapheme]alteration	"[celex]""$l-t@-'r1-SH"	[nettalk]cltxreS-xn
[grapheme]altercation	"[celex]""$l-t@-'k1-SH"	[nettalk]clt-RkeS-xn
[grapheme]alternate	[celex]'$l-t@-n1t	[nettalk]clt-Rnxt-
[grapheme]alternation	"[celex]""$l-t@-'n1-SH"	[nettalk]clt-RneS-xn
[grapheme]alternative	[celex]$l-'t3-n@-tIv	[nettalk]clt-RnxtIv-
[grapheme]altimeter	[celex]'{l-tI-mi-t@R	[nettalk]@ltImxt-R
[grapheme]altitude	[celex]'{l-tI-tjud	[nettalk]@ltxtYd-
[grapheme]alto	[celex]'{l-t5	[nettalk]@lto
[grapheme]altogether	"[celex]""$l-t@-'gE-D@R"	[nettalk]cltxgED--R
[grapheme]altruism	[celex]'{l-trU-I-z@m	[nettalk]@ltrUIzM
[grapheme]altruistic	"[celex]""{l-trU-'I-stIk"	[nettalk]@ltrUIstIk
[grapheme]alum	[celex]'{-l@m	[nettalk]@lxm
[grapheme]aluminium	"[celex]""{-ljU-'mI-nj@m"	[nettalk]@lYmInixm
[grapheme]aluminum	[celex]@-'lu-mI-n@m	[nettalk]xlumxnxm
[grapheme]alumna	[celex]@-'lVm-n@	[nettalk]xl^mnx
[grapheme]alumnus	[celex]@-'lVm-n@s	[nettalk]xl^mnxs
[grapheme]always	[celex]'$l-w1z	[nettalk]clwe-z
[grapheme]am	[celex]'{m	[nettalk]@m
[grapheme]amah	[celex]'#-m@	[nettalk]amx-
[grapheme]amalgam	[celex]@-'m{l-g@m	[nettalk]xm@lgxm
[grapheme]amalgamate	[celex]@-'m{l-g@-m1t	[nettalk]xm@lgxmet-
[grapheme]amanuensis	"[celex]@-""m{-njU-'En-sIs"	[nettalk]xm@nYEnsxs
[grapheme]amaryllis	"[celex]""{-m@-'rI-lIs"	[nettalk]@mxrIl-xs
[grapheme]amass	[celex]@-'m{s	[nettalk]xm@s-
[grapheme]amateur	[celex]'{-m@-t@R	[nettalk]@mxt--R
[grapheme]amateurish	"[celex]""{-m@-'t3-rIS"	[nettalk]@mxt--RIS-
[grapheme]amateurism	[celex]'{-m@-t@-rI-z@m	[nettalk]@mxt--RIzM
[grapheme]amatory	[celex]'{-m@-t@-rI	[nettalk]@mxtori
[grapheme]amaze	[celex]@-'m1z	[nettalk]xmez-
[grapheme]amazon	[celex]'{-m@-z@n	[nettalk]@mxzan
[grapheme]amazonian	"[celex]""{-m@-'z5-nj@n"	[nettalk]@mxzonixn
[grapheme]ambassador	[celex]{m-'b{-s@-d@R	[nettalk]@mb@s-xd-R
[grapheme]amber	[celex]'{m-b@R	[nettalk]@mb-R
[grapheme]ambergris	[celex]'{m-b@-gris	[nettalk]@mb-RgrIs
[grapheme]ambidextrous	"[celex]""{m-bI-'dEks-tr@s"	[nettalk]@mbIdEXtrx-s
[grapheme]ambient	[celex]'{m-b7nt	[nettalk]@mbixnt
[grapheme]ambiguity	"[celex]""{m-bI-'gju-I-tI"	[nettalk]@mbxgYxti
[grapheme]ambiguous	[celex]{m-'bI-gj9s	[nettalk]@mbIgYx-s
[grapheme]ambition	[celex]{m-'bI-SH	[nettalk]@mbIS-xn
[grapheme]ambitious	[celex]{m-'bI-S@s	[nettalk]@mbIS-x-s
[grapheme]ambivalence	"[celex]""{m-bI-'v1-l@ns"	[nettalk]@mbIvxlxns-
[grapheme]amble	[celex]'{m-bP	[nettalk]@mbL-
[grapheme]ambrosia	[celex]{m-'br5-zj@	[nettalk]@mbroZix
[grapheme]ambulance	[celex]'{m-bjU-l@ns	[nettalk]@mbYlxns-
[grapheme]ambuscade	"[celex]""{m-b@s-'k1d"	[nettalk]@mbxsked-
[grapheme]ambush	[celex]'{m-bUS	[nettalk]@mbUS-
[grapheme]ameliorate	[celex]@-'mi-lj@-r1t	[nettalk]xmily-Ret-
[grapheme]amen	"[celex]""#-'mEn"	[nettalk]emEn
[grapheme]amenable	[celex]@-'mi-n@-bP	[nettalk]xminxbL-
[grapheme]amend	[celex]@-'mEnd	[nettalk]xmEnd
[grapheme]amendment	[celex]@-'mEnd-m@nt	[nettalk]xmEndmxnt
[grapheme]amends	[celex]@-'mEndz	[nettalk]xmEndz
[grapheme]amenity	[celex]@-'mi-nI-tI	[nettalk]xmEnxti
[grapheme]americanize	[celex]@-'mE-rI-k@-n2z	[nettalk]xmErxkxnAz-
[grapheme]amethyst	[celex]'{-mI-TIst	[nettalk]@mxT-xst
[grapheme]amiability	"[celex]""1-mj@-'bI-l@-tI"	[nettalk]emixbIlxti
[grapheme]amiable	[celex]'1-mj@-bP	[nettalk]emixbL-
[grapheme]amiably	[celex]'1-mj@-blI	[nettalk]emixbli
[grapheme]amicable	[celex]'{-mI-k@-bP	[nettalk]@mIkxbL-
[grapheme]amid	[celex]@-'mId	[nettalk]xmId
[grapheme]amiss	[celex]@-'mIs	[nettalk]xmIs-
[grapheme]amity	[celex]'{-m@-tI	[nettalk]@mxti
[grapheme]ammeter	[celex]'{-mI-t@R	[nettalk]@m-it-R
[grapheme]ammo	[celex]'{-m5	[nettalk]@m-o
[grapheme]ammonia	[celex]@-'m5-nj@	[nettalk]xm-onyx
[grapheme]ammonite	[celex]'{-m@-n2t	[nettalk]@m-xnAt-
[grapheme]ammunition	"[celex]""{-mjU-'nI-SH"	[nettalk]@m-YnIS-xn
[grapheme]amnesia	[celex]{m-'ni-zj@	[nettalk]@mniZx-
[grapheme]amnesty	[celex]'{m-n@-stI	[nettalk]@mnxsti
[grapheme]amoeba	[celex]@-'mi-b@	[nettalk]xm-ibx
[grapheme]amok	[celex]@-'mQk	[nettalk]xm^k
[grapheme]among	[celex]@-'mVN	[nettalk]xm^G-
[grapheme]amoral	"[celex]""1-'mQ-r@l"	[nettalk]emcr-L
[grapheme]amorous	[celex]'{-m@-r@s	[nettalk]@mxrx-s
[grapheme]amorphous	[celex]@-'m$-f@s	[nettalk]xmcrf-x-s
[grapheme]amortization	"[celex]@-""m$-tI-'z1-SH"	[nettalk]@m-RtxzeS-xn
[grapheme]amortize	[celex]@-'m$-t2z	[nettalk]@m-RtAz-
[grapheme]amount	[celex]@-'m6nt	[nettalk]xmW-nt
[grapheme]amour	[celex]@-'m9R	[nettalk]xmU-r
[grapheme]ampere	[celex]'{m-p8R	[nettalk]@mpIr-
[grapheme]ampersand	[celex]'{m-p@-s{nd	[nettalk]@mp-Rs@nd
[grapheme]amphibian	[celex]{m-'fI-b7n	[nettalk]@mf-Ibixn
[grapheme]amphora	[celex]'{m-f@-r@	[nettalk]@mf-xrx
[grapheme]ample	[celex]'{m-pP	[nettalk]@mpL-
[grapheme]amplification	"[celex]""{m-plI-fI-'k1-SH"	[nettalk]@mplxfxkeS-xn
[grapheme]amplifier	[celex]'{m-plI-f2-@R	[nettalk]@mplxfA-R
[grapheme]amplify	[celex]'{m-plI-f2	[nettalk]@mplxfA
[grapheme]amplitude	[celex]'{m-plI-tjud	[nettalk]@mplxtYd-
[grapheme]ampoule	[celex]'{m-pul	[nettalk]@mpu-l-
[grapheme]amputate	[celex]'{m-pjU-t1t	[nettalk]@mpYtet-
[grapheme]amputation	"[celex]""{m-pjU-'t1-SH"	[nettalk]@mpYteS-xn
[grapheme]amputee	"[celex]""{m-pjU-'ti"	[nettalk]@mpYti-
[grapheme]amulet	[celex]'{-mjU-lIt	[nettalk]@mYlxt
[grapheme]amuse	[celex]@-'mjuz	[nettalk]xmYz-
[grapheme]an	[celex]'{n	[nettalk]@n
[grapheme]anachronism	[celex]@-'n{-kr@-nI-z@m	[nettalk]xn@k-rxnIzM
[grapheme]anachronistic	"[celex]@-""n{-kr@-'nI-stIk"	[nettalk]xn@k-rxnIstIk
[grapheme]anaconda	"[celex]""{-n@-'kQn-d@"	[nettalk]@nxkandx
[grapheme]anagram	[celex]'{-n@-gr{m	[nettalk]@nxgr@m
[grapheme]anal	[celex]'1-nP	[nettalk]en-L
[grapheme]analgesia	"[celex]""{-n{l-'_i-zj@"	[nettalk]@n-LJiZx-
[grapheme]analogous	[celex]@-'n{-l@-g@s	[nettalk]xn@lxgx-s
[grapheme]analysis	[celex]@-'n{-l@-sIs	[nettalk]xn@lxsxs
[grapheme]analyst	[celex]'{-n@-lIst	[nettalk]@n-Lxst
[grapheme]analytic	"[celex]""{-n@-'lI-tIk"	[nettalk]@n-LItIk
[grapheme]anarchic	[celex]{-'n#-kIk	[nettalk]@nark-Ik
[grapheme]anarchism	[celex]'{-n@-kI-z@m	[nettalk]@n-Rk-IzM
[grapheme]anarchistic	"[celex]""{-n@-'kI-stIk"	[nettalk]@n-Rk-IstIk
[grapheme]anarchy	[celex]'{-n@-kI	[nettalk]@n-Rk-i
[grapheme]anathema	[celex]@-'n{-T@-m@	[nettalk]xn@T-xmx
[grapheme]anatomist	[celex]@-'n{-t@-mIst	[nettalk]xn@txmxst
[grapheme]anatomy	[celex]@-'n{-t@-mI	[nettalk]xn@txmi
[grapheme]ancestor	[celex]'{n-sE-st@R	[nettalk]@nsEst-R
[grapheme]ancestral	[celex]{n-'sEs-tr@l	[nettalk]@nsEstr-L
[grapheme]anchor	[celex]'{N-k@R	[nettalk]@Gk--R
[grapheme]anchorage	[celex]'{N-k@-rI_	[nettalk]@Gk-xrIJ-
[grapheme]anchorite	[celex]'{N-k@-r2t	[nettalk]@Gk-xrAt-
[grapheme]anchovy	[celex]'{n-J@-vI	[nettalk]@nC-ovi
[grapheme]ancient	[celex]'1n-S@nt	[nettalk]enS-xnt
[grapheme]ancillary	[celex]{n-'sI-l@-rI	[nettalk]@nsxl-Eri
[grapheme]and	[celex]'{nd	[nettalk]@nd
[grapheme]andante	[celex]{n-'d{n-tI	[nettalk]andante
[grapheme]andiron	[celex]'{n-d2-@n	[nettalk]@ndAr-N
[grapheme]anecdote	[celex]'{-nIk-d5t	[nettalk]@nIkdot-
[grapheme]anemometer	"[celex]""{-nI-'mQ-mI-t@R"	[nettalk]@nxmamxt-R
[grapheme]anemone	[celex]@-'nE-m@-nI	[nettalk]xnEmxni
[grapheme]anent	[celex]@-'nEnt	[nettalk]xnEnt
[grapheme]anew	[celex]@-'nju	[nettalk]xnY-
[grapheme]angel	[celex]'1n-_@l	[nettalk]enJ-L
[grapheme]angelic	[celex]{n-'_E-lIk	[nettalk]@nJElIk
[grapheme]anger	[celex]'{N-g@R	[nettalk]@Gg-R
[grapheme]angina	[celex]{n-'_2-n@	[nettalk]@nJAnx
[grapheme]angle	[celex]'{N-gP	[nettalk]@GgL-
[grapheme]anglicize	[celex]'{N-glI-s2z	[nettalk]@GglxsAz-
[grapheme]angora	[celex]{N-'g$-r@	[nettalk]@Ggorx
[grapheme]angry	[celex]'{N-grI	[nettalk]@Ggri
[grapheme]angst	[celex]'{Nst	[nettalk]aG-st
[grapheme]anguish	[celex]'{N-gwIS	[nettalk]@GgwIS-
[grapheme]angular	[celex]'{N-gjU-l@R	[nettalk]@GgYl-R
[grapheme]angularity	"[celex]""{N-gjU-'l{-r@-tI"	[nettalk]@GgYl@rxti
[grapheme]aniline	[celex]'{-nI-lin	[nettalk]@n-Lxn-
[grapheme]animadvert	"[celex]""{-nI-m{d-'v3t"	[nettalk]@nxm@dv-Rt
[grapheme]animal	[celex]'{-nI-mP	[nettalk]@nxm-L
[grapheme]animalcule	"[celex]""{-nI-'m{l-kjul"	[nettalk]@nxm@lkYl-
[grapheme]animalism	[celex]'{-nI-m@-lI-z@m	[nettalk]@nxmxlIzM
[grapheme]animate	[celex]'{-nI-m1t	[nettalk]@nxmxt-
[grapheme]animation	"[celex]""{-nI-'m1-SH"	[nettalk]@nxmeS-xn
[grapheme]animism	[celex]'{-nI-mI-z@m	[nettalk]@nxmIzM
[grapheme]animosity	"[celex]""{-nI-'mQ-s@-tI"	[nettalk]@nxmasxti
[grapheme]animus	[celex]'{-nI-m@s	[nettalk]@nxmxs
[grapheme]anise	[celex]'{-nIs	[nettalk]@nxs-
[grapheme]ankle	[celex]'{N-kP	[nettalk]@GkL-
[grapheme]anklet	[celex]'{N-klIt	[nettalk]@Gklxt
[grapheme]annals	[celex]'{-nPz	[nettalk]@n--Lz
[grapheme]anneal	[celex]@-'nil	[nettalk]xn-i-l
[grapheme]annex	[celex]@-'nEks	[nettalk]xn-EX
[grapheme]annexation	"[celex]""{-nEk-'s1-SH"	[nettalk]@n-EXeS-xn
[grapheme]annihilate	[celex]@-'n2-@-l1t	[nettalk]xn-A-xlet-
[grapheme]anniversary	"[celex]""{-nI-'v3-s@-rI"	[nettalk]@n-xv-Rsxri
[grapheme]annotate	[celex]'{-n5-t1t	[nettalk]@n-xtet-
[grapheme]annotation	"[celex]""{-n5-'t1-SH"	[nettalk]@n-xteS-xn
[grapheme]announce	[celex]@-'n6ns	[nettalk]xn-W-ns-
[grapheme]annoy	[celex]@-'n4	[nettalk]xn-O-
[grapheme]annual	[celex]'{-nj9l	[nettalk]@n-Yxl
[grapheme]annuitant	[celex]@-'nju-t@nt	[nettalk]xn-Yxtxnt
[grapheme]annuity	[celex]@-'nju-I-tI	[nettalk]xn-Yxti
[grapheme]annul	[celex]@-'nVl	[nettalk]xn-^l
[grapheme]annular	[celex]'{-njU-l@R	[nettalk]@n-Yl-R
[grapheme]annunciate	[celex]@-'nVn-sI-1t	[nettalk]xn-xnsiet-
[grapheme]annunciation	"[celex]@-""nVn-sI-'1-SH"	[nettalk]xn-xnsieS-xn
[grapheme]anode	[celex]'{-n5d	[nettalk]@nod-
[grapheme]anodyne	[celex]'{-n5-d2n	[nettalk]@nxdAn-
[grapheme]anoint	[celex]@-'n4nt	[nettalk]xnO-nt
[grapheme]anomalous	[celex]@-'nQ-m@-l@s	[nettalk]xnamxlx-s
[grapheme]anomaly	[celex]@-'nQ-m@-lI	[nettalk]xnamxli
[grapheme]anon	[celex]@-'nQn	[nettalk]xnan
[grapheme]anonymity	"[celex]""{-n@-'nI-m@-tI"	[nettalk]@nxnImxti
[grapheme]anonymous	[celex]@-'nQ-nI-m@s	[nettalk]xnanxmx-s
[grapheme]anonymously	[celex]@-'nQ-nI-m@s-lI	[nettalk]xnanxmx-sli
[grapheme]anopheles	[celex]@-'nQ-fI-liz	[nettalk]xnaf-xliz
[grapheme]another	[celex]@-'nV-D@R	[nettalk]xnxD--R
[grapheme]answer	[celex]'#n-s@R	[nettalk]@ns--R
[grapheme]answerable	[celex]'#n-s@-r@-bP	[nettalk]@ns-xrxbL-
[grapheme]ant	[celex]'{nt	[nettalk]@nt
[grapheme]antacid	"[celex]""{n-'t{-sId"	[nettalk]@nt@sxd
[grapheme]antagonism	[celex]{n-'t{-g@-nI-z@m	[nettalk]@nt@gxnIzM
[grapheme]antagonist	[celex]{n-'t{-g@-nIst	[nettalk]@nt@gxnxst
[grapheme]antarctic	[celex]{n-'t#k-tIk	[nettalk]@ntarktIk
[grapheme]ante	[celex]'{n-tI	[nettalk]@nti
[grapheme]antecedent	"[celex]""{n-tI-'si-d@nt"	[nettalk]@ntxsid-Nt
[grapheme]antechamber	"[celex]'{n-tI-""J1m-b@R"	[nettalk]@ntIC-emb-R
[grapheme]antediluvian	"[celex]""{n-tI-dI-'lu-vj@n"	[nettalk]@ntIdxluvixn
[grapheme]antelope	[celex]'{n-tI-l5p	[nettalk]@nt-Lop-
[grapheme]antenna	[celex]{n-'tE-n@	[nettalk]@ntEn-x
[grapheme]anterior	[celex]{n-'t7-r7R	[nettalk]@ntIri-R
[grapheme]anteroom	[celex]'{n-tI-rUm	[nettalk]@ntIru-m
[grapheme]anthem	[celex]'{n-T@m	[nettalk]@nT-xm
[grapheme]anther	[celex]'{n-T@R	[nettalk]@nT--R
[grapheme]anthill	[celex]'{nt-hIl	[nettalk]@nthIl-
[grapheme]anthology	[celex]{n-'TQ-l@-_I	[nettalk]@nT-alxJi
[grapheme]anthracite	[celex]'{n-Tr@-s2t	[nettalk]@nT-rxsAt-
[grapheme]anthrax	[celex]'{n-Tr{ks	[nettalk]@nT-r@X
[grapheme]anthropocentric	"[celex]""{n-Tr5-p5-'sEn-trIk"	[nettalk]@nT-rxpxsEntrIk
[grapheme]anthropoid	[celex]'{n-Tr5-p4d	[nettalk]@nT-rxpO-d
[grapheme]anthropology	"[celex]""{n-Tr@-'pQ-l@-_I"	[nettalk]@nT-rxpalxJi
[grapheme]anthropomorphism	"[celex]""{n-Tr@-p5-'m$-fI-z@m"	[nettalk]@nT-rxpxmcrf-IzM
[grapheme]antibiotic	"[celex]""{n-tI-b2-'Q-tIk"	[nettalk]@ntIbAatIk
[grapheme]antibody	"[celex]'{n-tI-""bQ-dI"	[nettalk]@ntIbadi
[grapheme]anticipate	[celex]{n-'tI-sI-p1t	[nettalk]@ntIsxpet-
[grapheme]anticlimax	"[celex]""{n-tI-'kl2-m{ks"	[nettalk]@ntIklAm@X
[grapheme]antidote	[celex]'{n-tI-d5t	[nettalk]@ntIdot-
[grapheme]antihistamine	"[celex]""{n-tI-'hI-st@-mIn"	[nettalk]@ntIhIstxmin-
[grapheme]antiknock	"[celex]""{n-tI-'nQk"	[nettalk]@ntI-nak-
[grapheme]antilogarithm	"[celex]""{n-tI-'lQ-g@-rI-DF"	[nettalk]@ntIlcgxrID-M
[grapheme]antimacassar	"[celex]""{n-tI-m@-'k{-s@R"	[nettalk]@ntImxk@s--R
[grapheme]antimony	[celex]'{n-tI-m@-nI	[nettalk]@ntxmoni
[grapheme]antipathy	[celex]{n-'tI-p@-TI	[nettalk]@ntIpxT-i
[grapheme]antipersonnel	"[celex]""{n-tI-p3-s@-'nEl"	[nettalk]@ntIp-Rs-N-El
[grapheme]antipodes	[celex]{n-'tI-p@-diz	[nettalk]@ntIpxdiz
[grapheme]antiquarian	"[celex]""{n-tI-'kw8-r7n"	[nettalk]@ntxkwErixn
[grapheme]antiquary	[celex]'{n-tI-kw@-rI	[nettalk]@ntxkwEri
[grapheme]antiquated	[celex]'{n-tI-kw1-tId	[nettalk]@ntxkwetxd
[grapheme]antique	[celex]{n-'tik	[nettalk]@ntik--
[grapheme]antiquity	[celex]{n-'tI-kw@-tI	[nettalk]@ntIkwxti
[grapheme]antiseptic	"[celex]""{n-tI-'sEp-tIk"	[nettalk]@ntxsEptIk
[grapheme]antisocial	"[celex]""{n-tI-'s5-SP"	[nettalk]@ntIsoS--L
